  sid  |   code   | sex | age 
-------+----------+-----+-----
 18018 | ngr2711a |   0 |  22
 18026 | ngr2711b |   0 |  23
 18027 | ngr2711c |   1 |  22
 18028 | ngr2711d |   1 |  22
 18029 | ngr2711f |   1 |  20
 18030 | ngr2711g |   0 |  24
 18031 | ngr2711h |   1 |  24
 18032 | ngr2711i |   1 |  22
 18041 | ngr2811c |   0 |  22
 18042 | ngr2811d |   0 |  21
 18043 | ngr2811e |   1 |  21
 18044 | ngr2811f |   0 |  25
 18045 | ngr2811g |   1 |  22
 18046 | ngr2911e |   1 |  21
 18047 | ngr2911f |   0 |  21
 18048 | ngr2911g |   1 |  25
 18049 | ngr2911h |   0 |  25
 18050 | ngr2911i |   1 |  22
 18051 | ngr3011a |   1 |  21
 18052 | ngr3011b |   0 |  25
 18053 | ngr3011c |   1 |  22
 18054 | ngr3011d |   0 |  25
 18055 | ngr3011e |   1 |  23
 18056 | ngr3011f |   1 |  25
 18057 | ngr3011g |   1 |  20
 18058 | ngr3011h |   1 |  20
 18059 | ngr3011i |   0 |  25
 18060 | ngr0212b |   0 |  22
 18061 | ngr0212c |   0 |  25
 18062 | ngr0212d |   0 |  21
 18063 | ngr0212e |   1 |  20
 18064 | ngr0212f |   0 |  22
 18065 | ngr0212g |   1 |  20
 18066 | ngr0212h |   0 |  25
 18067 | ngr0212i |   0 |  21
 18068 | ngr0312a |   1 |  20
 18069 | ngr0312c |   1 |  23
 18070 | ngr0312d |   1 |  25
 18071 | ngr0312e |   1 |  23
 18072 | ngr0312f |   1 |  25
 18073 | ngr0312g |   0 |  24
 18074 | ngr0312h |   0 |  23
 18075 | ngr0412a |   0 |  20
 18076 | ngr0412b |   0 |  24
 18077 | ngr0412c |   1 |  20
 18078 | ngr0412d |   0 |  20
 18079 | ngr0412e |   0 |  19
 18080 | ngr0412f |   0 |  22
 18081 | ngr0412g |   1 |  22
 18082 | ngr0412h |   1 |  20
 18083 | ngr0412i |   0 |  24
 18084 | ngr0512a |   1 |  23
 18086 | ngr0512b |   0 |  21
 18087 | ngr0512c |   1 |  24
 18088 | ngr0512d |   0 |  24
 18089 | ngr0512f |   1 |  22
 18090 | ngr0512g |   0 |  23
 18091 | ngr0612e |   0 |  23
 18092 | ngr0612f |   0 |  23
 18093 | ngr0612g |   0 |  23
 18094 | ngr0612h |   1 |  25
 18095 | ngr0612i |   1 |  22
 18096 | ngr0712b |   0 |  21
 18097 | ngr0712c |   1 |  25
 18098 | ngr0712d |   0 |  22
 18099 | ngr0712f |   1 |  25
 18100 | ngr0712g |   0 |  22
 18101 | ngr0712h |   0 |  25
 18102 | ngr0712i |   1 |  21
 18103 | ngr0812a |   1 |  22
 18104 | ngr0812d |   1 |  22
 18105 | ngr0812e |   1 |  24
 18106 | ngr0812f |   0 |  21
 18107 | ngr0812g |   0 |  24
 18108 | ngr0812h |   0 |  25
 18109 | ngr0812i |   1 |  24
 18110 | ngr0812j |   1 |  21
 18111 | ngr0812k |   0 |  22
 18112 | ngr0912b |   0 |  25
 18113 | ngr0912c |   0 |  22
 18114 | ngr0912d |   0 |  22
 18115 | ngr0912e |   1 |  22
 18116 | ngr0912f |   0 |  20
 18117 | ngr0912g |   1 |  23
 18118 | ngr0912h |   1 |  20
 18119 | ngr1012b |   0 |  23
 18120 | ngr1012c |   0 |  22
 18121 | ngr1012d |   1 |  25
 18122 | ngr1012e |   0 |  22
 18123 | ngr1012f |   0 |  23
 18124 | ngr1012g |   0 |  24
 18125 | ngr1012h |   0 |  20
 18126 | ngr1012i |   1 |  20
 18127 | ngr1112a |   0 |  25
 18128 | ngr1112b |   1 |  22
 18129 | ngr1112c |   0 |  20
 18130 | ngr1112d |   1 |  24
 18131 | ngr1112e |   0 |  25
 18132 | ngr1112f |   1 |  23
 18133 | ngr1112g |   0 |  22
 18134 | ngr1112h |   0 |  21
 18135 | ngr1112i |   0 |  23
 18136 | ngr1212b |   1 |  25
 18137 | ngr1212c |   0 |  25
 18138 | ngr1212d |   0 |  21
 18139 | ngr1212e |   0 |  21
 18140 | ngr1212f |   1 |  26
