sid,code,name,ord,opt
18018,ngr2711a,ICE-32-pl,0,3
18018,ngr2711a,ICE-32-pl,1,4
18018,ngr2711a,ICE-32-pl,2,4
18018,ngr2711a,ICE-32-pl,3,3
18018,ngr2711a,ICE-32-pl,4,0
18018,ngr2711a,ICE-32-pl,5,0
18018,ngr2711a,ICE-32-pl,6,0
18018,ngr2711a,ICE-32-pl,7,0
18018,ngr2711a,ICE-32-pl,8,3
18018,ngr2711a,ICE-32-pl,9,3
18018,ngr2711a,ICE-32-pl,10,0
18018,ngr2711a,ICE-32-pl,11,1
18018,ngr2711a,ICE-32-pl,12,3
18018,ngr2711a,ICE-32-pl,13,1
18018,ngr2711a,ICE-32-pl,14,3
18018,ngr2711a,ICE-32-pl,15,1
18018,ngr2711a,ICE-32-pl,16,1
18018,ngr2711a,ICE-32-pl,17,3
18018,ngr2711a,ICE-32-pl,18,2
18018,ngr2711a,ICE-32-pl,19,3
18018,ngr2711a,ICE-32-pl,20,3
18018,ngr2711a,ICE-32-pl,21,3
18018,ngr2711a,ICE-32-pl,22,1
18018,ngr2711a,ICE-32-pl,23,4
18018,ngr2711a,ICE-32-pl,24,0
18018,ngr2711a,ICE-32-pl,25,1
18018,ngr2711a,ICE-32-pl,26,2
18018,ngr2711a,ICE-32-pl,27,2
18018,ngr2711a,ICE-32-pl,28,2
18018,ngr2711a,ICE-32-pl,29,2
18018,ngr2711a,ICE-32-pl,30,2
18018,ngr2711a,ICE-32-pl,31,4
18018,ngr2711a,ICE-32-pl,32,4
18018,ngr2711a,ICE-32-pl,33,3
18018,ngr2711a,ICE-32-pl,34,4
18018,ngr2711a,NRm-pl,0,1
18018,ngr2711a,NRm-pl,1,3
18018,ngr2711a,NRm-pl,2,3
18018,ngr2711a,NRm-pl,3,4
18018,ngr2711a,NRm-pl,4,4
18018,ngr2711a,NRm-pl,5,3
18018,ngr2711a,PCAE-pl,0,3
18018,ngr2711a,PCAE-pl,1,3
18018,ngr2711a,PCAE-pl,2,4
18018,ngr2711a,PCAE-pl,3,3
18018,ngr2711a,PD-pl,0,5
18018,ngr2711a,PD-pl,1,2
18026,ngr2711b,ICE-32-pl,0,2
18026,ngr2711b,ICE-32-pl,1,2
18026,ngr2711b,ICE-32-pl,2,4
18026,ngr2711b,ICE-32-pl,3,2
18026,ngr2711b,ICE-32-pl,4,3
18026,ngr2711b,ICE-32-pl,5,0
18026,ngr2711b,ICE-32-pl,6,1
18026,ngr2711b,ICE-32-pl,7,1
18026,ngr2711b,ICE-32-pl,8,2
18026,ngr2711b,ICE-32-pl,9,2
18026,ngr2711b,ICE-32-pl,10,0
18026,ngr2711b,ICE-32-pl,11,2
18026,ngr2711b,ICE-32-pl,12,3
18026,ngr2711b,ICE-32-pl,13,1
18026,ngr2711b,ICE-32-pl,14,2
18026,ngr2711b,ICE-32-pl,15,1
18026,ngr2711b,ICE-32-pl,16,0
18026,ngr2711b,ICE-32-pl,17,0
18026,ngr2711b,ICE-32-pl,18,2
18026,ngr2711b,ICE-32-pl,19,0
18026,ngr2711b,ICE-32-pl,20,0
18026,ngr2711b,ICE-32-pl,21,0
18026,ngr2711b,ICE-32-pl,22,1
18026,ngr2711b,ICE-32-pl,23,4
18026,ngr2711b,ICE-32-pl,24,0
18026,ngr2711b,ICE-32-pl,25,0
18026,ngr2711b,ICE-32-pl,26,0
18026,ngr2711b,ICE-32-pl,27,3
18026,ngr2711b,ICE-32-pl,28,1
18026,ngr2711b,ICE-32-pl,29,1
18026,ngr2711b,ICE-32-pl,30,2
18026,ngr2711b,ICE-32-pl,31,4
18026,ngr2711b,ICE-32-pl,32,3
18026,ngr2711b,ICE-32-pl,33,3
18026,ngr2711b,ICE-32-pl,34,3
18026,ngr2711b,NRm-pl,0,3
18026,ngr2711b,NRm-pl,1,3
18026,ngr2711b,NRm-pl,2,2
18026,ngr2711b,NRm-pl,3,3
18026,ngr2711b,NRm-pl,4,2
18026,ngr2711b,NRm-pl,5,2
18026,ngr2711b,PCAE-pl,0,4
18026,ngr2711b,PCAE-pl,1,4
18026,ngr2711b,PCAE-pl,2,4
18026,ngr2711b,PCAE-pl,3,4
18026,ngr2711b,PD-pl,0,5
18026,ngr2711b,PD-pl,1,3
18027,ngr2711c,ICE-32-pl,0,3
18027,ngr2711c,ICE-32-pl,1,3
18027,ngr2711c,ICE-32-pl,2,4
18027,ngr2711c,ICE-32-pl,3,3
18027,ngr2711c,ICE-32-pl,4,1
18027,ngr2711c,ICE-32-pl,5,0
18027,ngr2711c,ICE-32-pl,6,0
18027,ngr2711c,ICE-32-pl,7,1
18027,ngr2711c,ICE-32-pl,8,3
18027,ngr2711c,ICE-32-pl,9,3
18027,ngr2711c,ICE-32-pl,10,0
18027,ngr2711c,ICE-32-pl,11,2
18027,ngr2711c,ICE-32-pl,12,3
18027,ngr2711c,ICE-32-pl,13,1
18027,ngr2711c,ICE-32-pl,14,2
18027,ngr2711c,ICE-32-pl,15,3
18027,ngr2711c,ICE-32-pl,16,2
18027,ngr2711c,ICE-32-pl,17,2
18027,ngr2711c,ICE-32-pl,18,2
18027,ngr2711c,ICE-32-pl,19,2
18027,ngr2711c,ICE-32-pl,20,1
18027,ngr2711c,ICE-32-pl,21,2
18027,ngr2711c,ICE-32-pl,22,1
18027,ngr2711c,ICE-32-pl,23,4
18027,ngr2711c,ICE-32-pl,24,2
18027,ngr2711c,ICE-32-pl,25,1
18027,ngr2711c,ICE-32-pl,26,1
18027,ngr2711c,ICE-32-pl,27,3
18027,ngr2711c,ICE-32-pl,28,2
18027,ngr2711c,ICE-32-pl,29,2
18027,ngr2711c,ICE-32-pl,30,3
18027,ngr2711c,ICE-32-pl,31,4
18027,ngr2711c,ICE-32-pl,32,3
18027,ngr2711c,ICE-32-pl,33,4
18027,ngr2711c,ICE-32-pl,34,3
18027,ngr2711c,NRm-pl,0,4
18027,ngr2711c,NRm-pl,1,3
18027,ngr2711c,NRm-pl,2,3
18027,ngr2711c,NRm-pl,3,3
18027,ngr2711c,NRm-pl,4,2
18027,ngr2711c,NRm-pl,5,3
18027,ngr2711c,PCAE-pl,0,3
18027,ngr2711c,PCAE-pl,1,3
18027,ngr2711c,PCAE-pl,2,4
18027,ngr2711c,PCAE-pl,3,4
18027,ngr2711c,PD-pl,0,4
18027,ngr2711c,PD-pl,1,2
18028,ngr2711d,ICE-32-pl,0,3
18028,ngr2711d,ICE-32-pl,1,3
18028,ngr2711d,ICE-32-pl,2,3
18028,ngr2711d,ICE-32-pl,3,3
18028,ngr2711d,ICE-32-pl,4,2
18028,ngr2711d,ICE-32-pl,5,2
18028,ngr2711d,ICE-32-pl,6,1
18028,ngr2711d,ICE-32-pl,7,2
18028,ngr2711d,ICE-32-pl,8,1
18028,ngr2711d,ICE-32-pl,9,1
18028,ngr2711d,ICE-32-pl,10,0
18028,ngr2711d,ICE-32-pl,11,1
18028,ngr2711d,ICE-32-pl,12,1
18028,ngr2711d,ICE-32-pl,13,1
