group	run	story_PL	story_EN	code
ANG	r1	Rządy wielu państw od kilkudziesięciu lat dysponowały informacjami o tym, jak będzie wyglądać sytuacja klimatyczna na świecie, jeśli emisje gazów cieplarnianych się nie zmniejszą. Mimo to krótkoterminowe interesy najbogatszych ludzi były ważniejsze niż dobro przyszłych pokoleń.	For several decades governments of many countries knew what the global climate would look like if greenhouse gas emissions were not reduced. Nevertheless, the short-term interests of the rich were more important than the well-being of future generations.	ANG21
ANG	r1	Alicja jest szefową dużego przedsiębiorstwa produkującego stal. Miała szansę otrzymać fundusze na wprowadzenie ekologicznych rozwiązań do swojego przedsiębiorstwa, ale po dokonaniu kalkulacji zrezygnowała ze składania wniosku o dotację. Stwierdziła, że nie opłaca jej się dokonywać tego rodzaju inwestycji, nawet jeśli wpływ jej firmy na środowisko rzeczywiście miałby się zmniejszyć.	Alicia is the head of a large steel manufacturing company. She had an opportunity to obtain funds to introduce environment-friendly solutions at her company, but after some calculations, she decided not to apply for the subsidy. She concluded that the investment would not pay off, even though her company's environmental impact would be reduced.	ANG12
ANG	r1	Pewien polityk bagatelizował informację o zagrożeniu suszą, spowodowaną zmianą klimatu. Kiedy mieszkańcom miasta nagle zabrakło wody, wyjechał z miasta do swojej letniej rezydencji nad jeziorem, żeby uniknąć spotkania z dziennikarzami.	A certain politician downplayed reports about the threat of drought caused by climate change. When the town suddenly ran out of water, he sneaked off to his lakeside summer residence to avoid journalists.	ANG3
ANG	r1	Adam jest senatorem, a jego żona jest zatrudniona w spółce skarbu państwa, która odpowiada za duże zanieczyszczenie środowiska. Adam blokuje wsparcie finansowe na działania dla klimatu z uwagi na interesy finansowe swojej żony.	August is a senator and his wife works at a state-owned company responsible for heavy environmental pollution. August blocks financial support for climate action to protect his wife's financial interests.	ANG20
ANG	r2	Pewien znany celebryta w swoim ostatnim wywiadzie dla mediów skrytykował ludzi korzystających z foliowych toreb na zakupy. Ten sam celebryta podróżuje prywatnym samolotem kilka razy w tygodniu i inwestuje w wydobycie ropy naftowej.	In a recent media interview, a celebrity criticized people who use plastic shopping bags. The same person travels by private jet several times a week and invests in crude oil extraction.	ANG8
ANG	r2	Filip spędza dużo czasu, przeglądając media społecznościowe. Właśnie wyświetliło mu się zdjęcie jednego z najbogatszych ludzi na świecie. Zadowolony miliarder przytula koalę na tle swojego prywatnego samolotu. Pod postem znajduje się napis: “Wystarczy, że każdy z nas zrobi drobną rzecz, by pomóc naszej planecie”.	Philip spends a lot of time browsing social media. He has just seen a photo of one of the richest people on earth. The satisfied billionaire hugs a koala in front of his private jet. The caption under the picture reads: “It would be sufficient if each of us did a small thing for the planet.”	ANG30
ANG	r2	Franek raz w tygodniu chodzi do dużego supermarketu sieciowego, w którym kupuje artykuły spożywcze. Za każdym razem prosi kasjera o nowe plastikowe torby na zakupy. Po powrocie do domu od razu, odruchowo wyrzuca je do śmieci.	Once a week Frank buys groceries at a large supermarket. Each time he asks the cashier for new plastic shopping bags. When he brings his shopping home, he throws the bags away without a second thought.	ANG9
ANG	r2	Pewna korporacja zamówiła opracowanie raportu na temat swojego wpływu na środowisko. Ponieważ wyniki raportu okazały się dla korporacji niekorzystne, zarząd postanowił je ukryć. Pracownikom zabroniono ujawniania informacji na ten temat.	A corporation commissioned a report on its environmental impact. As the report turned out to embarrass the corporation, the management decided to conceal it. Employees were forbidden to disclose any information on this subject.	ANG6
ANG	r3	Julia jest bardzo zamożną osobą i lubi często zmieniać garderobę. Odkąd odkryła stronę internetową z bardzo tanimi ubraniami, co tydzień zamawia 20-30 sztuk odzieży. Nie wszystkie na nią pasują, więc wyrzuca je prosto do śmieci. Julia myśli, że to żadna strata, bo ubrania były śmiesznie tanie.	Lisha is very rich and likes to change her wardrobe frequently. Ever since she has discovered a website with very cheap clothes, she orders 20-30 items a week. Some turn out to be a poor fit, so she throws them straight into the garbage bin. Still, Lisha does not consider this wasteful, because the clothes were ridiculously cheap.	ANG25
ANG	r3	Redakcja tygodnika dowiedziała się o nowym, głośnym badaniu, dowodzącym tego, że spalanie węgla ma znacznie bardziej niekorzystny wpływ na środowisko niż do tej pory sądzono. Ponieważ jednak sponsorem tygodnika jest jeden z głównych koncernów energetycznych w kraju, dziennikarze pracujący dla tygodnika otrzymali zakaz publikowania doniesień na ten temat.	The editors of a weekly magazine found out about a new, high-profile study proving that burning coal has a much greater negative impact on the environment than previously thought. However, since the magazine is sponsored by a major energy producer, journalists working there were forbidden to publish any stories about this topic.	ANG7
ANG	r3	Agata ogląda program telewizyjny o zmianie klimatu. Agacie nie podoba się to co widzi i uważa, że program przedstawia nieprawdziwe informacje. “W Polsce się paliło węglem i nigdy nie było smogu, dopiero teraz wymyślili sobie ten smog”, myśli Agata.	Agatha is watching a TV documentary about climate change. She does not like what she sees and believes that the film spreads disinformation. “People in our region used to burn coal and there was never any smog. It is only now that they've invented this smog.“, thinks Agatha.	ANG1
ANG	r3	Rada miasta decyduje, na co wydać pieniądze z budżetu przeznaczone na rozwój transportu. Mogą zdecydować się na budowę sieci ścieżek rowerowych lub poszerzenie głównej drogi w mieście o dodatkowy pas. W głosowaniu radni wybierają poszerzenie drogi o kolejny pas.	The city council is debating how to spend the budget reserved for transport infrastructure. The choice is between constructing bicycle lanes or adding another car lane to the main road through the town. The councillors vote to build another car lane.	ANG17
CON	r1	Grzesiek często uczy się w bibliotece i korzysta z komputera w czytelni. Zazwyczaj siada przy komputerze obok okna, tyłem do drzwi. Ponieważ dzisiaj czeka na koleżankę, z którą mają się uczyć wspólnie, siada w innym miejscu, tak żeby widzieć, kiedy koleżanka wejdzie do czytelni. Włącza komputer i zaczyna pracę.	Greg often studies in the library and uses the computer in the reading room. He usually sits at the computer next to the window, with his back to the door. Today, however, he is waiting for a friend, with whom he will be studying together, so he sits at another table, to be able to see when his friend enters the reading room. He turns on the computer and starts working.	NEU5
CON	r1	Marek wracał z pracy, idąc spokojnym krokiem. Właśnie rozmyślał o tym, co kupić na obiad, gdy nagle mijający go przechodzień gestem wskazał na jego rozwiązany but. Marek przyklęknął, aby zawiązać sznurówki.	As he was slowly walking back home from work, Mark was thinking about the ingredients he needed to buy for his dinner when a passer-by pointed to his undone shoelace. Mark knelt down to tie it.	NEU3
CON	r1	Ania od dawna nie zmieniała nagrania na swojej poczcie głosowej. Pomyślała, że mogłaby zmienić treść przywitania na bardziej profesjonalne. Nagrała nowe powitanie i odsłuchała je. Była zadowolona z tego jak brzmiało, więc zapisała je i odłożyła telefon.	Anne hasn't changed the recording on her voicemail for a long time. It occurred to her that she might make the greeting more professional. She recorded a new message and listened to it. She was pleased with what it sounded like, so she saved it and put the phone down.	NEU2
CON	r1	Monika jedzie tramwajem i czyta ciekawą książkę. Kiedy przewróciła stronę, kosmyk włosów opadł jej na ramię, przeszkadzając w dalszym czytaniu. Nie odrywając się od lektury, Monika podrapała się w ramię, a następnie założyła kosmyk za ucho.	Riding a tram, Monica is reading an interesting book. As she turned the page, a lock of her hair fell to her shoulder, interfering with her reading. Still reading, Monica scratched her shoulder and tucked the strand behind her ear.	NEU22
CON	r2	Damian skończył oglądać swój ulubiony serial. Zapytał się znajomego, jaki inny serial mógłby mu polecić do oglądania w następnej kolejności. Znajomy polecił mu kilka tytułów. Damian przeczytał recenzje seriali i wybrał jeden z nich. Już pierwszy odcinek okazał się bardzo interesujący, więc Damian będzie oglądał go dalej.	Having watched the last episode of his favourite series, Olivier asked his friend if he could recommend another one. Olivier got several recommendations, read the reviews and chose one title. The first episode turned out to be very interesting, so he intends to keep watching it.	NEU16
CON	r2	Zuzanna chodzi wieczorami na spacery po swojej okolicy. Kiedy dochodzi do ronda, zazwyczaj skręca w prawo i idzie w kierunku rzeki. Nad rzeką często spotyka swoich sąsiadów z psami. Tym razem skręciła w lewo i poszła nad jezioro. “Rzadko bywam w tej okolicy, może będę tu częściej przychodzić” pomyślała Zuzanna.	Susan likes to go for a walk around her neighbourhood in the evening. When she comes to the roundabout, she usually turns right and walks towards the river. On the river bank, she often meets her neighbours with dogs. This time she turned left and walked to the lake. “I rarely visit this area, maybe I'll do it more often.”, she thought.	NEU26
CON	r2	Antoni postanowił zrobić sobie przerwę w pracy i zjeść drugie śniadanie. Zazwyczaj zjada bułkę, jednak tym razem w domu miał tylko chleb. Wziął dwie kromki, wyjął z lodówki pozostałe składniki i przygotował kanapki. Zabrał talerz z kanapkami do swojego biurka i zjadł je, przeglądając wiadomości.	George decided to take a break from work and have some lunch. He usually eats a bun, but this time he only had some bread at home. He cut two slices, took the rest of the ingredients out of the refrigerator, and made sandwiches. He took the plate with the sandwiches to his desk and ate them there as he browsed a news website.	NEU25
CON	r2	Monika weszła do pokoju i otworzyła szafę. Pochyliła się i sięgnęła do jednej z niższych półek. Wyjęła brązowe spodnie i założyła je. Następnie otworzyła szufladę komody i wyciągnęła z niej pasek. Przewlekła pasek przez szlufki spodni i zapięła klamrę.	Monica entered the room, opened the wardrobe and bent down to reach into one of the lower shelves. She took out her brown pants and put them on. Then she opened a drawer in her dresser and took out a belt. She passed it through the belt loops on her pants and fastened the buckle.	NEU4
CON	r3	Ola przyszła do klasy kilka minut przed rozpoczęciem zajęć i nie miała co ze sobą zrobić. Zauważyła, że na tablicy pozostały zapiski z poprzednich lekcji. Wzięła gąbkę i starła tablicę. Następnie usiadła, wyjęła z torby swój notes i cierpliwie czekała na rozpoczęcie zajęć.	Alex came to class a few minutes early and had nothing to do. She noticed that the blackboard had not been erased after the previous lesson. She took the sponge and wiped it. Then she sat down, took her notebook out of her bag, and waited patiently for the class to begin.	NEU17
CON	r3	Szymon przegląda dokumenty, które musi wypełnić, żeby zapisać swoją córkę do przedszkola. Bierze do ręki długopis i wypełnia pierwsze pole, wpisując swoje imię i nazwisko. Następnie wpisuje imię i nazwisko swojego dziecka. Podaje swój numer kontaktowy i wyraża zgodę na przetwarzanie danych osobowych.	Simon is examining some forms he has to fill in to enrol his daughter in kindergarten. He picks up a pen and writes his first and last name in the first field. Then he enters his child's first and last name. He gives his phone number and puts a checkmark next to a personal data processing consent clause.	NEU27
CON	r3	Igor jedzie autem ze swoją żoną i dziećmi. W aucie panuje cisza - dzieci przysypiają na tylnych siedzeniach, a żona spokojnie przygląda się drodze. W pewnym momencie zaczyna padać lekki deszcz. Igor włącza wycieraczki, żeby przetrzeć przednią szybę i poprawić widoczność.	Milo is driving a car with his wife and children in passenger seats. It is quiet – the children are sleeping in the back seats, and his wife calmly watches the road. A slight drizzle has just started. Milo turns on the wipers to clean the windshield and improve visibility.	NEU10
CON	r3	Tomek wybrał się do kina. Wychodząc z seansu zobaczył swoją koleżankę po drugiej stronie sali kinowej. Zamachał do niej ręką, a ona odmachała. Przeszedł wzdłuż rzędu foteli i zszedł na dół schodami po przeciwnej stronie widowni, żeby przywitać się z koleżanką i zapytać ją, jak podobał się jej film.	Malik went to the cinema. As he was leaving after the film, he saw his friend on the other side of the hall. He waved his hand at her, and she waved back. He passed between rows of chairs and walked down the steps on the opposite side to say hello to his friend and ask her how she liked the film.	NEU18
HOP	r1	Christiana jest dyplomatką. Dzięki ciężkiej pracy udało jej się doprowadzić do porozumienia między rządami całego kontynentu i skłonić je do podpisania zobowiązania na rzecz ograniczenia zmiany klimatu. Wie, że przed nią jeszcze dużo pracy, ale czuje się dumna ze swojego udziału w tym przełomowym przedsięwzięciu.	Christiana is a diplomat. Thanks to her hard work, the governments of the entire continent came to an agreement and signed a pledge to limit climate change. She knows she still has a lot of work to do, but she is proud to be part of this groundbreaking endeavour.	HOP22
HOP	r1	Daria zauważyła, że w jej osiedlowym sklepie pojawia się coraz więcej roślinnych zamienników mięsa i nabiału. Kiedy wspomniała o tym Wiktorii, swojej przyjaciółce, ta powiedziała, że to samo dostrzegła w swoim ulubionym sklepie. Kobiety dyskutują o tym, że obie coraz bardziej przekonują się do diety roślinnej i wymieniają się swoimi ulubionymi przepisami na dania wegetariańskie.	Daria noticed that more and more vegetable substitutes for meat and dairy products were available at the local store. She mentioned it to her friend Wiktoria, who realized that the same happened at her favourite store. Since then, the women have discovered that they both like a plant-based diet and have been swapping favourite vegetarian recipes.	HOP19
HOP	r1	Pewne państwo od zeszłego roku pochłania więcej dwutlenku węgla, niż go produkuje. Mimo wielu radykalnych zmian i wprowadzonych ograniczeń, mieszkańcy raportują coraz wyższą jakość życia. Pokazuje to, że systemowe rozwiązania są skuteczne w walce ze zmianą klimatu.	Since last year, a certain country has been absorbing more carbon dioxide than it generates. Despite many radical changes and restrictions that were required for that to happen, residents report that their quality of life has actually improved. This shows that systemic solutions are effective in combating climate change.	HOP7
HOP	r1	Córka Malwiny poinformowała swoją mamę, że w jej szkole dyrekcja rozważa zamontowanie paneli słonecznych. Malwina dzwoni do innych osób z rady rodziców, by nakłonić ich do poparcia inicjatywy dyrektora. Jeden z rodziców jest księgowym, który zgadza się nieodpłatnie pomóc w organizacji zakupu paneli dla szkoły.	Esther's daughter told her mother that the management of her school was considering the installation of solar panels. Hearing that, Esther asked other members of the Parents Council to support the director's initiative. One parent is an accountant, and he volunteered to help process the purchase of panels for the school, free of charge.	HOP15
HOP	r2	Kasia jest inżynierką i zajmuje się bezpieczeństwem przeciwpożarowym. Wynalazła specjalną powłokę na budynki, która będzie je chronić przed coraz częstszymi pożarami. Dodatkowo, powłoka jest wykonana z odpadów przemysłowych, które normalnie trafiłyby na wysypisko.	Amara is an engineer and she specialises in fire safety. She has invented a special coating for buildings to protect them from fires, which are increasingly common. What is more, the coating is made of industrial waste, which would normally end up in a landfill.	HOP23
