code,trial,response,money,carbon
2711a,c4_m2,LEFT,50,40
2711a,c1_m1,RIGHT,10,2
2711a,dl0,LEFT,0,0
2711a,m5_c2,LEFT,120,10
2711a,c3_m5,LEFT,120,25
2711a,m0_c2,RIGHT,0,10
2711a,c5_m0,LEFT,0,50
2711a,dr0,RIGHT,0,0
2711a,m4_c5,RIGHT,100,50
2711a,c3_m2,LEFT,50,25
2711a,m1_c3,RIGHT,10,25
2711a,dl1,LEFT,0,0
2711a,c0_m0,LEFT,0,0
2711a,c4_m1,LEFT,10,40
2711a,m4_c3,LEFT,100,25
2711a,dr1,RIGHT,0,0
2711a,c5_m5,LEFT,120,50
2711a,m1_c0,LEFT,10,0
2711a,dr3,RIGHT,0,0
2711a,m3_c3,RIGHT,80,25
2711a,m3_c5,RIGHT,80,50
2711a,m2_c1,LEFT,50,2
2711a,c1_m0,LEFT,0,2
2711a,dr2,RIGHT,0,0
2711a,m2_c2,LEFT,50,10
2711a,m4_c0,LEFT,100,0
2711a,c0_m5,RIGHT,120,0
2711a,dl3,LEFT,0,0
2711a,m4_c1,LEFT,100,2
2711a,c4_m4,LEFT,100,40
2711a,dl2,LEFT,0,0
2711a,c0_m2,RIGHT,50,0
2711a,c4_m3,LEFT,80,40
2711a,m5_c4,RIGHT,120,40
2711a,c4_m0,LEFT,0,40
2711a,dl4,LEFT,0,0
2711a,c2_m4,RIGHT,100,10
2711a,m5_c1,LEFT,120,2
2711a,c5_m1,LEFT,10,50
2711a,dr4,RIGHT,0,0
2711a,m0_c3,RIGHT,0,25
2711a,c0_m3,RIGHT,80,0
2711a,dl5,LEFT,0,0
2711a,m3_c2,LEFT,80,10
2711a,m2_c5,RIGHT,50,50
2711a,dr5,RIGHT,0,0
2711a,c1_m3,RIGHT,80,2
2711a,m1_c2,RIGHT,10,10
2711b,c4_m2,LEFT,50,40
2711b,c1_m1,LEFT,10,2
2711b,dl0,LEFT,0,0
2711b,m5_c2,LEFT,120,10
2711b,c3_m5,LEFT,120,25
2711b,m0_c2,RIGHT,0,10
2711b,c5_m0,LEFT,0,50
2711b,dr0,RIGHT,0,0
2711b,m4_c5,RIGHT,100,50
2711b,c3_m2,RIGHT,50,25
2711b,m1_c3,RIGHT,10,25
2711b,dl1,LEFT,0,0
2711b,c0_m0,RIGHT,0,0
2711b,c4_m1,LEFT,10,40
2711b,m4_c3,LEFT,100,25
2711b,dr1,RIGHT,0,0
2711b,c5_m5,LEFT,120,50
2711b,m1_c0,LEFT,10,0
2711b,dr3,RIGHT,0,0
