code,egoistic,altruistic,dummy correct,rational correct
2711a,10,15,12,10
2711b,11,14,12,10
2711c,12,13,11,10
2711d,11,14,11,10
2711f,22,3,12,10
2711g,25,0,12,9
2711h,0,25,12,5
2711i,4,21,10,10
2811c,19,6,12,10
2811d,7,18,11,10
2811e,13,12,12,10
2811f,14,11,6,2
2811g,1,24,12,6
2911e,20,5,12,10
2911f,20,5,12,10
2911g,17,8,12,10
2911h,18,7,12,10
2911i,25,0,12,10
3011a,5,20,12,10
3011b,18,6,12,10
3011c,4,21,11,10
3011d,9,16,12,10
3011e,5,20,12,10
3011f,13,12,12,10
3011g,10,15,12,9
3011h,12,13,12,10
3011i,10,15,12,10
0212b,25,0,12,9
0212c,25,0,12,10
0212d,6,19,12,10
0212e,12,13,12,10
0212f,7,18,12,10
0212g,3,22,12,10
0212h,12,13,11,10
0212i,13,12,12,10
0312a,25,0,12,10
0312c,25,0,12,10
0312d,11,14,12,10
0312e,19,5,11,8
0312f,11,14,12,10
0312g,11,14,11,10
0312h,0,25,12,10
0412a,4,21,12,10
0412b,9,16,12,10
0412c,5,20,12,9
0412d,9,15,12,10
0412e,3,22,11,10
0412f,8,17,12,10
0412g,17,8,12,10
0412h,11,14,12,10
0412i,11,14,12,10
0512a,10,14,12,10
0512b,11,14,12,10
0512c,15,10,12,10
0512d,18,7,12,10
0512f,23,2,12,9
0512g,21,4,11,10
0612e,18,7,12,10
0612f,4,21,12,10
0612g,0,25,12,10
0612h,20,5,12,10
0612i,21,4,12,10
0712b,10,15,12,9
0712c,25,0,12,5
0712d,9,16,12,10
0712f,0,25,12,10
0712g,20,5,12,10
0712h,8,17,12,10
0712i,9,16,12,10
0812a,12,13,12,10
0812d,14,11,12,10
0812e,13,12,12,10
0812f,20,5,11,10
0812g,15,10,12,10
0812h,10,15,12,10
0812i,19,6,12,10
0812j,16,9,12,10
0812k,10,15,12,10
0912b,0,25,12,10
0912c,10,15,12,10
0912d,16,9,12,10
0912e,25,0,12,10
0912f,4,21,12,10
0912g,6,19,11,10
0912h,12,13,12,9
1012b,9,16,12,10
1012c,9,16,12,10
1012d,12,13,12,10
1012e,15,10,12,10
1012f,9,16,12,10
1012g,9,16,12,10
1012h,11,14,12,10
1012i,14,11,12,10
1112a,0,25,12,10
1112b,8,17,12,10
1112c,11,14,12,10
1112d,20,5,11,10
1112e,6,19,12,10
1112f,15,10,12,10
1112g,6,19,12,10
1112h,18,7,12,10
1112i,10,15,12,10
1212b,20,5,12,10
1212c,9,16,12,10
1212d,0,25,12,10
1212e,12,13,12,10
1212f,8,17,12,10
1212g,11,14,11,10
1312b,16,9,12,10
1312c,15,10,11,10
1312d,0,25,11,10
1312h,0,25,12,10
1312i,15,10,12,10
1412a,6,18,12,10
1412b,7,18,12,10
1412d,14,11,10,10
1412e,17,8,12,10
1412g,6,19,12,10
1412h,12,13,12,10
1412i,10,15,12,10
1512a,14,11,12,10
1512b,11,14,12,10
1512c,13,12,12,10
1512d,10,15,12,10
1512e,16,9,12,10
1512f,6,19,12,10
1512g,7,18,12,9
1512h,0,25,12,10
1512i,12,13,12,9
1612b,14,11,12,10
1612c,10,15,12,10
1612e,15,10,12,10
1612f,5,20,12,10
1612g,6,19,12,10
1612h,0,25,11,10
1612i,14,11,12,10
1712c,20,5,12,10
1712d,7,18,12,10
1712e,14,11,12,10
1712f,9,16,12,10
1712g,8,17,12,10
1712h,4,21,11,8
1712i,4,21,12,10
1812a,10,15,12,10
1812b,21,4,12,10
1812c,17,8,12,10
1812d,0,25,12,10
1812e,24,1,10,10
1812h,14,11,12,10
1812i,21,4,12,10
1912a,19,6,12,10
1912d,12,13,12,10
1912g,10,15,12,10
2012d,10,15,12,10
2012e,20,5,12,10
2012f,19,6,12,10
2012h,19,6,12,10
2012i,7,18,12,10
2112b,19,6,12,9
2112c,14,11,12,10
