participant_id	run	onset	duration	trial_type	trial_code	valence	arousal
2711a	R1	5.511	15	NEU	NEU24	6	1
2711a	R1	22.5361	11	Q	Q_NEU24	6	1
2711a	R1	40.5944	15	CON	NEU5	7	2
2711a	R1	57.6194	11	Q	Q_NEU5	7	2
2711a	R1	75.4445	15	CON	NEU3	4	6
2711a	R1	92.4695	11	Q	Q_NEU3	4	6
2711a	R1	109.0278	15	NEU	NEU6	6	0
2711a	R1	126.0529	11	Q	Q_NEU6	6	0
2711a	R1	143.3612	15	CON	NEU2	7	2
2711a	R1	160.3862	11	Q	Q_NEU2	7	2
2711a	R1	178.1946	15	NEU	NEU12	7	4
2711a	R1	195.2196	11	Q	Q_NEU12	7	4
2711a	R1	213.0363	15	NEU	NEU30	6	4
2711a	R1	230.0613	11	Q	Q_NEU30	6	4
2711a	R1	246.6197	15	CON	NEU22	none	none
2711a	R1	263.6447	11	Q	Q_NEU22	none	none
2711a	R2	7.2683	15	CON	NEU16	7	6
2711a	R2	24.2934	11	Q	Q_NEU16	7	6
2711a	R2	41.3517	15	NEU	NEU14	6	4
2711a	R2	58.3767	11	Q	Q_NEU14	6	4
2711a	R2	75.1851	15	NEU	NEU15	3	6
2711a	R2	92.2101	11	Q	Q_NEU15	3	6
2711a	R2	110.2685	15	CON	NEU26	none	6
2711a	R2	127.2935	11	Q	Q_NEU26	none	6
2711a	R2	143.8602	15	CON	NEU25	6	1
2711a	R2	160.8852	11	Q	Q_NEU25	6	1
2711a	R2	177.7019	15	NEU	NEU29	2	7
2711a	R2	194.7269	11	Q	Q_NEU29	2	7
2711a	R2	212.2853	15	CON	NEU4	none	0
2711a	R2	229.3186	11	Q	Q_NEU4	none	0
2711a	R2	247.627	15	NEU	NEU21	4	4
2711a	R2	264.6515	11	Q	Q_NEU21	4	4
2711a	R3	6.2636	15	CON	NEU17	2	7
2711a	R3	23.2886	11	Q	Q_NEU17	2	7
2711a	R3	40.097	15	NEU	NEU1	4	1
2711a	R3	57.122	11	Q	Q_NEU1	4	1
2711a	R3	75.4304	15	CON	NEU27	none	0
2711a	R3	92.4554	11	Q	Q_NEU27	none	0
2711a	R3	109.5137	15	CON	NEU10	6	0
2711a	R3	126.5388	11	Q	Q_NEU10	6	0
2711a	R3	143.5971	15	NEU	NEU11	6	1
2711a	R3	160.6221	11	Q	Q_NEU11	6	1
2711a	R3	178.6805	15	CON	NEU18	9	6
2711a	R3	195.7055	11	Q	Q_NEU18	9	6
2711a	R3	213.7639	15	NEU	NEU23	4	1
2711a	R3	230.7889	11	Q	Q_NEU23	4	1
2711a	R3	248.6056	15	NEU	NEU9	6	1
2711a	R3	265.6306	11	Q	Q_NEU9	6	1
2711b	R1	5.5259	15	NEU	NEU24	6	2
2711b	R1	22.5509	11	Q	Q_NEU24	6	2
2711b	R1	40.6176	15	CON	NEU5	6	6
2711b	R1	57.642	11	Q	Q_NEU5	6	6
2711b	R1	75.451	15	CON	NEU3	6	3
2711b	R1	92.476	11	Q	Q_NEU3	6	3
2711b	R1	109.0427	15	NEU	NEU6	4	none
2711b	R1	126.0677	11	Q	Q_NEU6	4	none
2711b	R1	143.3761	15	CON	NEU2	6	3
2711b	R1	160.4011	11	Q	Q_NEU2	6	3
2711b	R1	178.2178	15	NEU	NEU12	none	2
2711b	R1	195.2428	11	Q	Q_NEU12	none	2
2711b	R1	213.0512	15	NEU	NEU30	none	3
2711b	R1	230.0762	11	Q	Q_NEU30	none	3
2711b	R1	246.6346	15	CON	NEU22	6	6
2711b	R1	263.6596	11	Q	Q_NEU22	6	6
2711b	R2	7.2682	15	CON	NEU16	none	4
2711b	R2	24.2933	11	Q	Q_NEU16	none	4
2711b	R2	41.3516	15	NEU	NEU14	7	none
2711b	R2	58.3767	11	Q	Q_NEU14	7	none
2711b	R2	75.185	15	NEU	NEU15	none	2
2711b	R2	92.21	11	Q	Q_NEU15	none	2
2711b	R2	110.2684	15	CON	NEU26	6	4
