code,run,category,trial,valence,arousal
2711a,R1,NEU,NEU24,6,1
2711a,R1,CON,NEU5,7,2
2711a,R1,CON,NEU3,4,6
2711a,R1,NEU,NEU6,6,0
2711a,R1,CON,NEU2,7,2
2711a,R1,NEU,NEU12,7,4
2711a,R1,NEU,NEU30,6,4
2711a,R1,CON,NEU22,none,none
2711a,R2,CON,NEU16,7,6
2711a,R2,NEU,NEU14,6,4
2711a,R2,NEU,NEU15,3,6
2711a,R2,CON,NEU26,none,6
2711a,R2,CON,NEU25,6,1
2711a,R2,NEU,NEU29,2,7
2711a,R2,CON,NEU4,none,0
2711a,R2,NEU,NEU21,4,4
2711a,R3,CON,NEU17,2,7
2711a,R3,NEU,NEU1,4,1
2711a,R3,CON,NEU27,none,0
2711a,R3,CON,NEU10,6,0
2711a,R3,NEU,NEU11,6,1
2711a,R3,CON,NEU18,9,6
2711a,R3,NEU,NEU23,4,1
2711a,R3,NEU,NEU9,6,1
2711b,R1,NEU,NEU24,6,2
2711b,R1,CON,NEU5,6,6
2711b,R1,CON,NEU3,6,3
2711b,R1,NEU,NEU6,4,none
2711b,R1,CON,NEU2,6,3
2711b,R1,NEU,NEU12,none,2
2711b,R1,NEU,NEU30,none,3
2711b,R1,CON,NEU22,6,6
2711b,R2,CON,NEU16,none,4
2711b,R2,NEU,NEU14,7,none
2711b,R2,NEU,NEU15,none,2
2711b,R2,CON,NEU26,6,4
2711b,R2,CON,NEU25,none,1
2711b,R2,NEU,NEU29,6,6
2711b,R2,CON,NEU4,none,2
2711b,R2,NEU,NEU21,none,3
2711b,R3,CON,NEU17,7,6
2711b,R3,NEU,NEU1,6,none
2711b,R3,CON,NEU27,none,1
2711b,R3,CON,NEU10,6,6
2711b,R3,NEU,NEU11,none,3
2711b,R3,CON,NEU18,4,6
2711b,R3,NEU,NEU23,none,none
2711b,R3,NEU,NEU9,none,2
2711c,R1,NEU,NEU24,8,4
2711c,R1,CON,NEU5,5,3
2711c,R1,CON,NEU3,9,4
2711c,R1,NEU,NEU6,5,4
2711c,R1,CON,NEU2,7,4
2711c,R1,NEU,NEU12,5,3
2711c,R1,NEU,NEU30,8,6
2711c,R1,CON,NEU22,none,0
2711c,R2,CON,NEU16,8,2
2711c,R2,NEU,NEU14,9,4
2711c,R2,NEU,NEU15,6,3
2711c,R2,CON,NEU26,6,6
2711c,R2,CON,NEU25,none,0
2711c,R2,NEU,NEU29,6,1
2711c,R2,CON,NEU4,6,0
2711c,R2,NEU,NEU21,7,4
2711c,R3,CON,NEU17,8,4
2711c,R3,NEU,NEU1,7,3
2711c,R3,CON,NEU27,6,2
2711c,R3,CON,NEU10,7,none
2711c,R3,NEU,NEU11,4,7
2711c,R3,CON,NEU18,7,3
2711c,R3,NEU,NEU23,3,none
2711c,R3,NEU,NEU9,none,4
2711d,R1,NEU,NEU24,7,4
2711d,R1,CON,NEU5,7,6
2711d,R1,CON,NEU3,4,6
2711d,R1,NEU,NEU6,4,4
2711d,R1,CON,NEU2,3,6
2711d,R1,NEU,NEU12,3,6
2711d,R1,NEU,NEU30,6,6
2711d,R1,CON,NEU22,4,6
2711d,R2,CON,NEU16,6,6
2711d,R2,NEU,NEU14,8,6
2711d,R2,NEU,NEU15,2,7
2711d,R2,CON,NEU26,3,6
2711d,R2,CON,NEU25,4,6
2711d,R2,NEU,NEU29,7,6
2711d,R2,CON,NEU4,3,6
2711d,R2,NEU,NEU21,6,7
2711d,R3,CON,NEU17,7,6
2711d,R3,NEU,NEU1,7,6
2711d,R3,CON,NEU27,2,7
2711d,R3,CON,NEU10,3,7
2711d,R3,NEU,NEU11,3,7
2711d,R3,CON,NEU18,4,6
2711d,R3,NEU,NEU23,9,7
2711d,R3,NEU,NEU9,2,7
2711f,R1,NEU,NEU24,4,0
2711f,R1,CON,NEU5,6,1
2711f,R1,CON,NEU3,8,1
2711f,R1,NEU,NEU6,4,1
2711f,R1,CON,NEU2,none,0
2711f,R1,NEU,NEU12,8,2
2711f,R1,NEU,NEU30,none,0
2711f,R1,CON,NEU22,none,0
2711f,R2,CON,NEU16,7,1
2711f,R2,NEU,NEU14,8,0
2711f,R2,NEU,NEU15,4,0
2711f,R2,CON,NEU26,4,1
2711f,R2,CON,NEU25,none,0
2711f,R2,NEU,NEU29,6,0
2711f,R2,CON,NEU4,none,0
2711f,R2,NEU,NEU21,none,0
2711f,R3,CON,NEU17,7,3
2711f,R3,NEU,NEU1,6,1
2711f,R3,CON,NEU27,7,1
2711f,R3,CON,NEU10,9,0
2711f,R3,NEU,NEU11,none,1
2711f,R3,CON,NEU18,8,1
2711f,R3,NEU,NEU23,8,0
